algos,0,1,2,3,4,5,6,7
naiveRF,0.7415,0.74975,0.789,0.79925,0.81975,0.82875,0.838,0.845
convrf,0.7092499999999999,0.7210000000000001,0.751,0.78025,0.799,0.812,0.81875,0.8234999999999999
convrf2layer,0.69225,0.7064999999999999,0.72875,0.75075,0.76925,0.79425,0.796,0.7995000000000001
simplecnn,0.43925000000000003,0.65525,0.651,0.64975,0.70425,0.739,0.7622500000000001,0.772
cnn32,0.46275,0.5395,0.54025,0.5635,0.59275,0.61925,0.63725,0.67
cnn32_2layer,0.482,0.49866666666666665,0.546,0.5609999999999999,0.5896666666666667,0.5988333333333333,0.6418333333333334,0.6466666666666666
