algos,0,1,2,3,4,5,6,7
naiveRF,0.73925,0.76225,0.79575,0.8069999999999999,0.81775,0.82875,0.8375,0.846
convrf,0.73875,0.75,0.771,0.7885,0.794,0.81875,0.8282499999999999,0.83325
convrf2layer,0.714,0.7322500000000001,0.7415,0.75925,0.76625,0.79425,0.7955,0.8115
simplecnn,0.56075,0.56475,0.6445000000000001,0.65775,0.7362500000000001,0.67,0.765,0.7769999999999999
cnn32,0.4655,0.5367500000000001,0.556,0.581,0.6005,0.6154999999999999,0.65125,0.6625
cnn32_2layer,0.4683333333333333,0.5133333333333333,0.5,0.5613333333333334,0.589,0.6105,0.6383333333333333,0.6616666666666666
