algos,0,1,2,3,4,5,6,7
naiveRF,0.665,0.6952499999999999,0.7165,0.762,0.773,0.7847500000000001,0.798,0.8065
convrf,0.65675,0.66525,0.6945,0.7422500000000001,0.76825,0.7737499999999999,0.7825,0.78725
convrf2layer,0.6355,0.645,0.659,0.702,0.73125,0.746,0.7565,0.75325
simplecnn,0.61925,0.6515,0.655,0.6655,0.63075,0.728,0.7755,0.7955
cnn32,0.46875,0.5445,0.5625,0.57925,0.59175,0.6305,0.6619999999999999,0.663
cnn32_2layer,0.49700000000000005,0.5073333333333333,0.5505,0.516,0.5961666666666666,0.6069999999999999,0.6448333333333333,0.6741666666666667
