algos,0,1,2,3,4,5,6,7
naiveRF,0.6339999999999999,0.6855,0.71875,0.724,0.7262500000000001,0.7415,0.75125,0.763
convrf,0.62425,0.6535,0.6965,0.70175,0.7104999999999999,0.726,0.73725,0.73925
convrf2layer,0.60475,0.623,0.6579999999999999,0.6679999999999999,0.67825,0.70375,0.7115,0.71175
simplecnn,0.59925,0.60725,0.6885,0.6559999999999999,0.6885,0.752,0.7715,0.78725
cnn32,0.47250000000000003,0.5249999999999999,0.56275,0.5722499999999999,0.58775,0.635,0.64825,0.673
cnn32_2layer,0.47500000000000003,0.5113333333333333,0.5335,0.549,0.5758333333333333,0.6071666666666666,0.6395,0.6568333333333334
