algos,0,1,2,3,4,5,6,7
naiveRF,0.66075,0.66925,0.69975,0.726,0.729,0.76625,0.76725,0.7865
convrf,0.66675,0.65375,0.677,0.70975,0.72475,0.7415,0.74525,0.7575
convrf2layer,0.6487499999999999,0.648,0.665,0.6975,0.71875,0.71575,0.7295,0.73
simplecnn,0.5355,0.68,0.64925,0.6745,0.6715,0.7362500000000001,0.7677499999999999,0.78925
cnn32,0.46475,0.5325,0.54175,0.58125,0.58375,0.6167499999999999,0.65875,0.67275
cnn32_2layer,0.48500000000000004,0.5195,0.5078333333333332,0.5535,0.5815,0.5964999999999999,0.6349999999999999,0.6583333333333333
