algos,0,1,2,3,4,5,6,7
naiveRF,0.7685,0.8095,0.81525,0.82475,0.8452500000000001,0.8652500000000001,0.87575,0.8827499999999999
convrf,0.78075,0.8125,0.83275,0.836,0.8494999999999999,0.86575,0.881,0.88375
convrf2layer,0.78325,0.7869999999999999,0.827,0.8322499999999999,0.83875,0.8540000000000001,0.86575,0.8765
simplecnn,0.50025,0.59075,0.67625,0.6515,0.6950000000000001,0.742,0.7745,0.789
cnn32,0.4645,0.52525,0.5615,0.59125,0.5885,0.60475,0.608,0.64125
cnn32_2layer,0.4865,0.5013333333333333,0.5365,0.5623333333333334,0.5728333333333333,0.6083333333333334,0.6228333333333333,0.6703333333333333
