algos,0,1,2,3,4,5,6,7
naiveRF,0.74425,0.77925,0.8062499999999999,0.82325,0.8402499999999999,0.8595,0.8755,0.88
convrf,0.758,0.7927500000000001,0.8222499999999999,0.83475,0.85625,0.8665,0.8734999999999999,0.8807499999999999
convrf2layer,0.7464999999999999,0.78225,0.80575,0.8194999999999999,0.85025,0.8572500000000001,0.86675,0.8734999999999999
simplecnn,0.53775,0.6755,0.6659999999999999,0.6930000000000001,0.6695,0.7525,0.77475,0.7927500000000001
cnn32,0.45375,0.5467500000000001,0.57675,0.5960000000000001,0.5922499999999999,0.611,0.64925,0.6605
cnn32_2layer,0.47300000000000003,0.5051666666666667,0.5266666666666667,0.5628333333333333,0.581,0.6111666666666667,0.6531666666666666,0.6615000000000001
