algos,0,1,2,3,4,5,6,7
naiveRF,0.7867500000000001,0.8125,0.8420000000000001,0.86175,0.8805000000000001,0.88175,0.89125,0.8967499999999999
convrf,0.7929999999999999,0.8165,0.8395,0.85475,0.871,0.8827499999999999,0.8855,0.894
convrf2layer,0.7677499999999999,0.79575,0.81175,0.84275,0.8532500000000001,0.8725,0.876,0.88175
simplecnn,0.55375,0.62825,0.62775,0.656,0.7230000000000001,0.727,0.7657499999999999,0.77475
cnn32,0.4675,0.552,0.562,0.5862499999999999,0.60225,0.629,0.653,0.677
cnn32_2layer,0.4828333333333333,0.5115,0.5345,0.5743333333333333,0.5838333333333333,0.612,0.606,0.6353333333333334
