algos,0,1,2,3,4,5,6,7
naiveRF,0.766,0.7775,0.7865,0.8027500000000001,0.81975,0.8382499999999999,0.84825,0.8552500000000001
convrf,0.7865,0.8075,0.8195,0.8165,0.8400000000000001,0.843,0.8552500000000001,0.86075
convrf2layer,0.77725,0.796,0.81375,0.81375,0.83725,0.844,0.8535,0.8612500000000001
simplecnn,0.57525,0.5155000000000001,0.6617500000000001,0.7012499999999999,0.734,0.73075,0.7789999999999999,0.78825
cnn32,0.46099999999999997,0.524,0.59,0.57325,0.57375,0.6232500000000001,0.63425,0.663
cnn32_2layer,0.4908333333333333,0.5085000000000001,0.5159999999999999,0.5606666666666668,0.5733333333333334,0.6144999999999999,0.6365,0.67
