algos,0,1,2,3,4,5,6,7
naiveRF,0.8109999999999999,0.83475,0.849,0.86,0.87175,0.88625,0.8927499999999999,0.89825
convrf,0.8455,0.8532500000000001,0.8612500000000001,0.8734999999999999,0.88025,0.8905,0.8935,0.896
convrf2layer,0.833,0.84375,0.8552500000000001,0.86275,0.87375,0.879,0.886,0.891
simplecnn,0.57075,0.5745,0.6315,0.67475,0.6985,0.71625,0.7887500000000001,0.79575
cnn32,0.46499999999999997,0.5455,0.544,0.5625,0.5875,0.6152500000000001,0.6625,0.67
cnn32_2layer,0.47,0.5155,0.5538333333333334,0.5771666666666667,0.5791666666666667,0.6151666666666668,0.6235,0.6596666666666667
