algos,0,1,2,3,4,5,6,7
naiveRF,0.78975,0.78725,0.8142499999999999,0.827,0.8375,0.8425,0.851,0.863
convrf,0.7677499999999999,0.78025,0.7935000000000001,0.8242499999999999,0.83,0.843,0.851,0.85375
convrf2layer,0.7557499999999999,0.7725,0.7809999999999999,0.8007500000000001,0.8165,0.8260000000000001,0.82975,0.84325
simplecnn,0.54675,0.665,0.63675,0.65525,0.69025,0.7110000000000001,0.7809999999999999,0.8029999999999999
cnn32,0.46475,0.53625,0.556,0.57375,0.5842499999999999,0.6325000000000001,0.6535,0.659
cnn32_2layer,0.486,0.5036666666666666,0.531,0.5555,0.5636666666666666,0.6223333333333333,0.6435,0.6621666666666667
