algos,0,1,2,3,4,5,6,7
naiveRF,0.6859999999999999,0.696,0.7175,0.7495,0.75625,0.7745,0.7797499999999999,0.78975
convrf,0.6697500000000001,0.6555,0.6952499999999999,0.7282500000000001,0.7390000000000001,0.7557499999999999,0.76475,0.77225
convrf2layer,0.63925,0.625,0.6597500000000001,0.7010000000000001,0.7150000000000001,0.7415,0.75075,0.7577499999999999
simplecnn,0.51125,0.5952500000000001,0.66475,0.68075,0.63975,0.745,0.7847500000000001,0.774
cnn32,0.46875,0.54225,0.5435000000000001,0.5695,0.601,0.6327499999999999,0.66325,0.6492500000000001
cnn32_2layer,0.47783333333333333,0.5055,0.5563333333333333,0.5565000000000001,0.5735,0.6221666666666666,0.6441666666666667,0.648
