algos,0,1,2,3,4,5,6,7
naiveRF,0.62875,0.6785,0.7150000000000001,0.73125,0.74075,0.76875,0.79125,0.7947500000000001
convrf,0.61775,0.6739999999999999,0.70275,0.7064999999999999,0.7304999999999999,0.7545,0.776,0.7927500000000001
convrf2layer,0.60625,0.67325,0.67875,0.68975,0.7032499999999999,0.72475,0.74375,0.76125
simplecnn,0.51475,0.6225,0.6779999999999999,0.67975,0.64775,0.72425,0.7685,0.7925
cnn32,0.454,0.52225,0.5402499999999999,0.5525,0.60225,0.6272500000000001,0.65025,0.66225
cnn32_2layer,0.4698333333333333,0.5108333333333334,0.5259999999999999,0.5625,0.573,0.606,0.6375000000000001,0.6586666666666666
