algos,0,1,2,3,4,5,6,7
naiveRF,0.668,0.6797500000000001,0.71625,0.73675,0.75225,0.775,0.78725,0.7985
convrf,0.66675,0.6775,0.702,0.7215,0.747,0.7637499999999999,0.7745,0.7895
convrf2layer,0.659,0.6675,0.6885,0.70575,0.73175,0.7475,0.7537499999999999,0.76275
simplecnn,0.5625,0.6005,0.69225,0.68225,0.70325,0.75075,0.7835,0.7855000000000001
cnn32,0.46499999999999997,0.5435,0.5387500000000001,0.5840000000000001,0.575,0.619,0.6595,0.66675
cnn32_2layer,0.47733333333333333,0.5098333333333334,0.5185,0.5608333333333333,0.5841666666666666,0.6206666666666667,0.6415000000000001,0.6608333333333333
