algos,0,1,2,3,4,5,6,7
naiveRF,0.5955,0.6072500000000001,0.61625,0.6375,0.6475,0.6615,0.67275,0.694
convrf,0.58875,0.58575,0.6032500000000001,0.6275,0.64375,0.6625000000000001,0.67225,0.695
convrf2layer,0.5745,0.5820000000000001,0.6,0.60875,0.632,0.654,0.66825,0.68325
simplecnn,0.49124999999999996,0.5475,0.65175,0.7052499999999999,0.68075,0.72775,0.77625,0.79975
cnn32,0.46725000000000005,0.536,0.5842499999999999,0.5585,0.59075,0.61075,0.645,0.66875
cnn32_2layer,0.49699999999999994,0.5101666666666667,0.5176666666666666,0.5641666666666666,0.5831666666666666,0.6136666666666667,0.6281666666666667,0.6665000000000001
