algos,0,1,2,3,4,5,6,7
naiveRF,0.84675,0.87525,0.89425,0.9097500000000001,0.91675,0.9239999999999999,0.92825,0.9335
convrf,0.8480000000000001,0.86075,0.8645,0.885,0.8907499999999999,0.9097500000000001,0.9195,0.9215
convrf2layer,0.8440000000000001,0.8552500000000001,0.84825,0.85975,0.8765000000000001,0.88575,0.88825,0.89825
simplecnn,0.58775,0.531,0.6,0.6772499999999999,0.72275,0.70625,0.7685,0.78725
cnn32,0.4615,0.539,0.5647500000000001,0.569,0.589,0.625,0.6315,0.6655
cnn32_2layer,0.4861666666666667,0.5075000000000001,0.5411666666666667,0.5750000000000001,0.5746666666666667,0.6016666666666667,0.6453333333333333,0.6753333333333335
