algos,0,1,2,3,4,5,6,7
naiveRF,0.8027500000000001,0.81725,0.8425,0.8585,0.8745,0.885,0.8905,0.8979999999999999
convrf,0.8035000000000001,0.8085,0.8322499999999999,0.85075,0.8545,0.8685,0.8725,0.8767499999999999
convrf2layer,0.79575,0.79625,0.809,0.81775,0.82875,0.84375,0.85475,0.869
simplecnn,0.51875,0.6535,0.6890000000000001,0.668,0.67675,0.7525,0.775,0.7909999999999999
cnn32,0.476,0.542,0.57325,0.5722499999999999,0.59775,0.63325,0.64325,0.6635
cnn32_2layer,0.4563333333333333,0.516,0.5111666666666667,0.5645,0.5755,0.5681666666666666,0.6513333333333334,0.6611666666666666
