algos,0,1,2,3,4,5,6,7
naiveRF,0.798,0.8205,0.84775,0.8655,0.8694999999999999,0.8775,0.883,0.89325
convrf,0.788,0.81775,0.83725,0.8520000000000001,0.864,0.8695,0.87525,0.87925
convrf2layer,0.778,0.805,0.815,0.8354999999999999,0.8452500000000001,0.8534999999999999,0.86775,0.86975
simplecnn,0.54475,0.65325,0.67475,0.7035,0.737,0.745,0.77325,0.7945
cnn32,0.45375,0.5297499999999999,0.549,0.58925,0.6012500000000001,0.5855,0.642,0.67025
cnn32_2layer,0.48900000000000005,0.5055,0.5163333333333333,0.56,0.5931666666666667,0.6148333333333333,0.6395,0.6723333333333333
