algos,0,1,2,3,4,5,6,7
naiveRF,0.74075,0.7585,0.771,0.77925,0.785,0.8027500000000001,0.8109999999999999,0.82525
convrf,0.73075,0.732,0.7475,0.7605,0.77075,0.785,0.7965,0.8055
convrf2layer,0.71175,0.72275,0.7355,0.7545,0.76075,0.7729999999999999,0.78325,0.78425
simplecnn,0.537,0.63725,0.66125,0.652,0.6245,0.739,0.76675,0.8007500000000001
cnn32,0.46975,0.53525,0.56275,0.6005,0.5854999999999999,0.615,0.65225,0.677
cnn32_2layer,0.4856666666666667,0.523,0.5578333333333334,0.5343333333333334,0.597,0.6103333333333333,0.6406666666666666,0.6735000000000001
