algos,0,1,2,3,4,5,6,7
naiveRF,0.8452500000000001,0.855,0.87425,0.8847499999999999,0.88925,0.897,0.908,0.9157500000000001
convrf,0.8425,0.8452500000000001,0.8605,0.8705,0.8779999999999999,0.8845000000000001,0.89925,0.90225
convrf2layer,0.84,0.846,0.8535,0.85475,0.867,0.87575,0.881,0.8885
simplecnn,0.5505,0.56125,0.68425,0.67475,0.71475,0.74375,0.7717499999999999,0.79725
cnn32,0.46825,0.5375000000000001,0.53825,0.582,0.57475,0.6145,0.65725,0.6775
cnn32_2layer,0.47833333333333333,0.5188333333333334,0.5153333333333333,0.5438333333333334,0.5876666666666667,0.5970000000000001,0.6353333333333333,0.6653333333333333
