algos,0,1,2,3,4,5,6,7
naiveRF,0.8235,0.8492500000000001,0.8495,0.86225,0.879,0.888,0.897,0.9055
convrf,0.818,0.8554999999999999,0.86175,0.85875,0.88525,0.8875,0.89375,0.8995
convrf2layer,0.8245,0.82875,0.8480000000000001,0.8575,0.87525,0.8755,0.883,0.8915
simplecnn,0.5195000000000001,0.59325,0.64625,0.68125,0.7075,0.744,0.76925,0.8035000000000001
cnn32,0.4625,0.5387500000000001,0.5635,0.58325,0.60225,0.628,0.654,0.659
cnn32_2layer,0.482,0.5086666666666666,0.5361666666666666,0.5611666666666667,0.5713333333333334,0.5881666666666666,0.642,0.6558333333333334
