algos,0,1,2,3,4,5,6,7
naiveRF,0.8214999999999999,0.84275,0.85825,0.8675,0.8785,0.89175,0.8915,0.8965
convrf,0.822,0.82925,0.84575,0.8585,0.87575,0.886,0.8895,0.8935
convrf2layer,0.8242499999999999,0.81375,0.8154999999999999,0.833,0.84425,0.8612500000000001,0.87825,0.8825000000000001
simplecnn,0.5980000000000001,0.58725,0.7010000000000001,0.699,0.7130000000000001,0.7105,0.77425,0.7925
cnn32,0.469,0.532,0.5795,0.59475,0.59875,0.63,0.6487499999999999,0.6565000000000001
cnn32_2layer,0.4789999999999999,0.503,0.5306666666666666,0.5708333333333333,0.5781666666666667,0.625,0.6025,0.668
