algos,0,1,2,3,4,5,6,7
naiveRF,0.68325,0.7304999999999999,0.7655,0.77875,0.79225,0.7945,0.8065,0.8182499999999999
convrf,0.6805,0.70575,0.7495,0.7715,0.7825,0.796,0.79425,0.8085
convrf2layer,0.66275,0.6735,0.722,0.7410000000000001,0.7669999999999999,0.767,0.778,0.78175
simplecnn,0.60425,0.57925,0.66625,0.6047499999999999,0.6835,0.6995,0.7677499999999999,0.786
cnn32,0.46075,0.5385,0.5645,0.58575,0.5945,0.633,0.64825,0.65425
cnn32_2layer,0.49783333333333335,0.5305,0.5223333333333333,0.5171666666666667,0.5804999999999999,0.6,0.635,0.6581666666666667
