algos,0,1,2,3,4,5,6,7
naiveRF,0.793,0.8205,0.8282499999999999,0.8402499999999999,0.8460000000000001,0.853,0.85975,0.872
convrf,0.7945,0.8215,0.82125,0.8302499999999999,0.83475,0.84475,0.8540000000000001,0.86625
convrf2layer,0.771,0.8047500000000001,0.81475,0.8160000000000001,0.81975,0.8402499999999999,0.84975,0.8614999999999999
simplecnn,0.57825,0.5589999999999999,0.6495,0.6405000000000001,0.67625,0.7262500000000001,0.7617499999999999,0.79
cnn32,0.46699999999999997,0.5347500000000001,0.56125,0.575,0.60225,0.61725,0.6372500000000001,0.6577500000000001
cnn32_2layer,0.457,0.513,0.5419999999999999,0.5336666666666666,0.5888333333333333,0.6215,0.6285,0.6618333333333334
