algos,0,1,2,3,4,5,6,7
naiveRF,0.773,0.794,0.81725,0.8315,0.83675,0.8532500000000001,0.8614999999999999,0.8712500000000001
convrf,0.7675000000000001,0.7735000000000001,0.80125,0.81325,0.83,0.8435,0.85375,0.85975
convrf2layer,0.74075,0.76075,0.7829999999999999,0.79425,0.81775,0.82525,0.83,0.8302499999999999
simplecnn,0.57025,0.59825,0.67025,0.6659999999999999,0.664,0.74325,0.77,0.79775
cnn32,0.46225000000000005,0.5565,0.544,0.5725,0.59875,0.618,0.6335,0.6507499999999999
cnn32_2layer,0.4988333333333333,0.496,0.5571666666666667,0.5566666666666666,0.5725000000000001,0.6121666666666666,0.6496666666666666,0.6633333333333333
