algos,0,1,2,3,4,5,6,7
naiveRF,0.774,0.7705,0.789,0.7985,0.8154999999999999,0.82575,0.83375,0.84475
convrf,0.7615000000000001,0.7649999999999999,0.77525,0.7975000000000001,0.812,0.823,0.8325,0.84125
convrf2layer,0.7305,0.73725,0.7637499999999999,0.7769999999999999,0.80025,0.8105,0.8140000000000001,0.8242499999999999
simplecnn,0.514,0.5745,0.67625,0.6577500000000001,0.7304999999999999,0.743,0.7637499999999999,0.78775
cnn32,0.4655,0.526,0.5505,0.56925,0.58725,0.633,0.643,0.6565000000000001
cnn32_2layer,0.4746666666666666,0.5031666666666667,0.5139999999999999,0.5338333333333333,0.5938333333333333,0.6156666666666667,0.6468333333333334,0.6681666666666667
