algos,0,1,2,3,4,5,6,7
naiveRF,0.7855,0.8055000000000001,0.83325,0.8472500000000001,0.861,0.871,0.879,0.88975
convrf,0.778,0.8005,0.8322499999999999,0.84325,0.86375,0.86375,0.86975,0.88125
convrf2layer,0.7675000000000001,0.7847500000000001,0.8200000000000001,0.8220000000000001,0.8445,0.85775,0.8532500000000001,0.869
simplecnn,0.54725,0.651,0.66525,0.6595,0.644,0.737,0.7749999999999999,0.79375
cnn32,0.48024999999999995,0.53925,0.56125,0.589,0.6025,0.64525,0.6415,0.6777500000000001
cnn32_2layer,0.47783333333333333,0.5103333333333333,0.5263333333333334,0.544,0.5808333333333333,0.5996666666666667,0.6415000000000001,0.6776666666666668
