algos,0,1,2,3,4,5,6,7
naiveRF,0.8185,0.83525,0.8382499999999999,0.8425,0.86,0.861,0.8720000000000001,0.87175
convrf,0.81675,0.8205,0.828,0.8382499999999999,0.84575,0.8525,0.861,0.86425
convrf2layer,0.8115,0.81175,0.814,0.8265,0.833,0.8375,0.84375,0.855
simplecnn,0.5475,0.5980000000000001,0.6125,0.6910000000000001,0.732,0.74675,0.783,0.78975
cnn32,0.46799999999999997,0.546,0.577,0.5834999999999999,0.5805,0.6345000000000001,0.6547499999999999,0.66075
cnn32_2layer,0.4963333333333333,0.49333333333333335,0.5071666666666667,0.5516666666666666,0.5578333333333333,0.6023333333333333,0.6419999999999999,0.6651666666666666
