algos,0,1,2,3,4,5,6,7
naiveRF,0.7589999999999999,0.7815000000000001,0.79975,0.8127500000000001,0.836,0.83775,0.8494999999999999,0.86175
convrf,0.7855000000000001,0.7965,0.80225,0.80625,0.8215,0.82725,0.8362499999999999,0.84475
convrf2layer,0.7795000000000001,0.788,0.79575,0.7915,0.81575,0.8160000000000001,0.8275,0.83075
simplecnn,0.5375000000000001,0.50075,0.636,0.69425,0.6875,0.7275,0.7827500000000001,0.7965
cnn32,0.4685,0.5265,0.555,0.5934999999999999,0.5525,0.6055,0.6535,0.66275
cnn32_2layer,0.474,0.511,0.5365000000000001,0.5703333333333335,0.5665,0.5943333333333333,0.6388333333333334,0.649
