algos,0,1,2,3,4,5,6,7
naiveRF,0.772,0.8105,0.8374999999999999,0.85625,0.8712500000000001,0.8732500000000001,0.88175,0.89325
convrf,0.7525,0.79375,0.829,0.8520000000000001,0.86225,0.8767499999999999,0.88025,0.89175
convrf2layer,0.73775,0.7697499999999999,0.8115,0.8382499999999999,0.8565,0.87025,0.87625,0.88975
simplecnn,0.47450000000000003,0.6307499999999999,0.636,0.66225,0.6975,0.74,0.76475,0.7955000000000001
cnn32,0.46925,0.53375,0.5685,0.57725,0.58925,0.6245,0.63575,0.67075
cnn32_2layer,0.5005000000000001,0.5226666666666667,0.5301666666666667,0.5501666666666667,0.572,0.622,0.6206666666666667,0.6596666666666666
