algos,0,1,2,3,4,5,6,7
naiveRF,0.698,0.71475,0.74125,0.76675,0.77125,0.7845,0.7915,0.8107500000000001
convrf,0.698,0.6865,0.71775,0.764,0.7709999999999999,0.77675,0.7909999999999999,0.79925
convrf2layer,0.6757500000000001,0.66475,0.69425,0.734,0.7595,0.76275,0.77225,0.7775000000000001
simplecnn,0.5467500000000001,0.595,0.6547499999999999,0.66125,0.73875,0.72225,0.76525,0.77875
cnn32,0.46225000000000005,0.5427500000000001,0.5589999999999999,0.5742499999999999,0.60675,0.63175,0.6000000000000001,0.6617500000000001
cnn32_2layer,0.4693333333333333,0.5148333333333334,0.5676666666666667,0.5451666666666667,0.5824999999999999,0.6098333333333333,0.653,0.6699999999999999
