algos,0,1,2,3,4,5,6,7
naiveRF,0.77525,0.8025,0.81775,0.83925,0.85,0.8665,0.8732500000000001,0.88525
convrf,0.7625,0.78825,0.81225,0.82875,0.84325,0.8580000000000001,0.8660000000000001,0.87975
convrf2layer,0.74925,0.7777499999999999,0.7967500000000001,0.8154999999999999,0.82975,0.83525,0.8585,0.8655
simplecnn,0.51275,0.5455,0.66625,0.6950000000000001,0.71825,0.714,0.7545,0.7907500000000001
cnn32,0.4565,0.538,0.55825,0.5825,0.5952500000000001,0.62925,0.65375,0.67025
cnn32_2layer,0.484,0.5116666666666666,0.5343333333333332,0.5776666666666667,0.5525,0.5923333333333334,0.6331666666666665,0.6663333333333333
