algos,0,1,2,3,4,5,6,7
naiveRF,0.5025,0.54225,0.5705,0.595,0.61925,0.64425,0.65375,0.658
convrf,0.499,0.53025,0.57475,0.59625,0.609,0.64425,0.65425,0.65525
convrf2layer,0.50025,0.5289999999999999,0.562,0.59175,0.60575,0.62375,0.63425,0.6479999999999999
simplecnn,0.51,0.6427499999999999,0.6615,0.63225,0.681,0.73325,0.76925,0.79375
cnn32,0.46125000000000005,0.522,0.5707500000000001,0.576,0.596,0.6234999999999999,0.6555,0.6645
cnn32_2layer,0.47950000000000004,0.502,0.5138333333333334,0.566,0.5865,0.6071666666666666,0.6333333333333333,0.6593333333333333
