algos,0,1,2,3,4,5,6,7
naiveRF,0.6319999999999999,0.66125,0.6565000000000001,0.6745000000000001,0.687,0.707,0.7265,0.737
convrf,0.647,0.648,0.6625000000000001,0.6799999999999999,0.692,0.7092499999999999,0.7330000000000001,0.7442500000000001
convrf2layer,0.6175,0.63725,0.6565000000000001,0.6825,0.68825,0.712,0.7244999999999999,0.7285
simplecnn,0.57575,0.67325,0.6765,0.66475,0.6125,0.73725,0.76,0.79775
cnn32,0.463,0.54325,0.5385,0.6,0.5974999999999999,0.63775,0.6519999999999999,0.66475
cnn32_2layer,0.474,0.5148333333333334,0.5173333333333333,0.5571666666666667,0.5821666666666666,0.6098333333333333,0.6225,0.6643333333333334
