algos,0,1,2,3,4,5,6,7
naiveRF,0.796,0.8194999999999999,0.835,0.84625,0.86375,0.875,0.8805000000000001,0.8845000000000001
convrf,0.79,0.804,0.818,0.846,0.8545,0.872,0.87375,0.88125
convrf2layer,0.75875,0.7685,0.78725,0.81525,0.8280000000000001,0.8475,0.8545,0.86225
simplecnn,0.46925,0.6845,0.66025,0.6705000000000001,0.69625,0.74525,0.7545,0.796
cnn32,0.4735,0.5195000000000001,0.5589999999999999,0.57475,0.58675,0.6319999999999999,0.6415,0.67125
cnn32_2layer,0.4885,0.5128333333333334,0.5588333333333334,0.5406666666666666,0.5625,0.6171666666666668,0.6191666666666666,0.6726666666666667
