algos,0,1,2,3,4,5,6,7
naiveRF,0.7847500000000001,0.8,0.8225,0.83475,0.84675,0.8605,0.86475,0.87425
convrf,0.7775000000000001,0.7849999999999999,0.81,0.8254999999999999,0.8305,0.851,0.856,0.8632500000000001
convrf2layer,0.75925,0.77125,0.78325,0.80175,0.80975,0.83375,0.84325,0.85375
simplecnn,0.5595,0.6272500000000001,0.6712499999999999,0.6095,0.69425,0.7345,0.7725,0.7749999999999999
cnn32,0.45875,0.5367500000000001,0.57325,0.5885,0.60475,0.60825,0.64725,0.65225
cnn32_2layer,0.48266666666666663,0.49666666666666665,0.5404999999999999,0.582,0.5935,0.6259999999999999,0.639,0.6496666666666667
