algos,0,1,2,3,4,5,6,7
naiveRF,0.8262499999999999,0.839,0.8480000000000001,0.85475,0.8655,0.8805,0.8879999999999999,0.899
convrf,0.8275,0.8425,0.8632500000000001,0.862,0.86625,0.87175,0.8805,0.888
convrf2layer,0.82125,0.8205,0.84125,0.8505,0.85275,0.8560000000000001,0.869,0.8785
simplecnn,0.5235,0.6125,0.63675,0.66625,0.6677500000000001,0.76025,0.7775000000000001,0.7927500000000001
cnn32,0.45975,0.52425,0.5715,0.582,0.6112500000000001,0.6265000000000001,0.6585,0.66325
cnn32_2layer,0.48,0.5086666666666666,0.5416666666666666,0.5351666666666667,0.5775,0.6121666666666666,0.6388333333333334,0.6751666666666667
