algos,0,1,2,3,4,5,6,7
naiveRF,0.6815,0.71625,0.73575,0.746,0.76425,0.7745,0.79375,0.7967500000000001
convrf,0.67525,0.68825,0.7175,0.74275,0.75125,0.7589999999999999,0.77325,0.782
convrf2layer,0.67725,0.6737500000000001,0.68075,0.72125,0.729,0.7484999999999999,0.7525,0.76675
simplecnn,0.5795,0.5587500000000001,0.66825,0.7144999999999999,0.7050000000000001,0.7344999999999999,0.7677499999999999,0.79625
cnn32,0.46475,0.53575,0.54975,0.5682499999999999,0.6005,0.63,0.6427499999999999,0.6695
cnn32_2layer,0.47100000000000003,0.5078333333333332,0.5178333333333334,0.5553333333333333,0.5631666666666667,0.5966666666666667,0.6318333333333334,0.658
