algos,0,1,2,3,4,5,6,7
naiveRF,0.74725,0.79725,0.81225,0.83325,0.85175,0.8672500000000001,0.87975,0.8945
convrf,0.76325,0.81575,0.82925,0.839,0.858,0.87,0.8845,0.891
convrf2layer,0.75875,0.7967500000000001,0.8205,0.829,0.855,0.86475,0.87625,0.88625
simplecnn,0.58175,0.6272500000000001,0.633,0.6697500000000001,0.72275,0.7442500000000001,0.776,0.781
cnn32,0.4755,0.51425,0.5615,0.5640000000000001,0.59325,0.631,0.64575,0.66425
cnn32_2layer,0.46216666666666667,0.5005000000000001,0.5506666666666667,0.5625,0.5946666666666666,0.6153333333333333,0.6275000000000001,0.6685
