algos,0,1,2,3,4,5,6,7
naiveRF,0.621,0.65925,0.69875,0.71875,0.731,0.7382500000000001,0.748,0.752
convrf,0.62925,0.662,0.6935,0.714,0.7132499999999999,0.72525,0.7342500000000001,0.7350000000000001
convrf2layer,0.6345,0.6605000000000001,0.6745000000000001,0.68875,0.6912499999999999,0.7092499999999999,0.71575,0.7230000000000001
simplecnn,0.43124999999999997,0.6485000000000001,0.68225,0.7172499999999999,0.7085,0.74275,0.7729999999999999,0.781
cnn32,0.46625,0.53375,0.55225,0.5680000000000001,0.6045,0.6275,0.6419999999999999,0.6637500000000001
cnn32_2layer,0.47300000000000003,0.49700000000000005,0.5245000000000001,0.5716666666666667,0.5516666666666666,0.6053333333333333,0.6428333333333334,0.6545
