algos,0,1,2,3,4,5,6,7
naiveRF,0.82275,0.84275,0.86175,0.86975,0.88325,0.8955,0.90875,0.915
convrf,0.81575,0.845,0.8515,0.8652500000000001,0.87225,0.8815,0.8855,0.896
convrf2layer,0.7865,0.8365,0.82925,0.84475,0.85475,0.8745,0.87525,0.88775
simplecnn,0.53675,0.63975,0.6495,0.6247499999999999,0.68025,0.73725,0.768,0.7887500000000001
cnn32,0.47,0.5425,0.55175,0.5767500000000001,0.5965,0.6385,0.64125,0.6755
cnn32_2layer,0.48616666666666664,0.5326666666666666,0.5486666666666667,0.5461666666666667,0.5898333333333333,0.6243333333333333,0.6413333333333334,0.6629999999999999
