algos,0,1,2,3,4,5,6,7
naiveRF,0.6725000000000001,0.7024999999999999,0.7270000000000001,0.7615000000000001,0.7657499999999999,0.7869999999999999,0.7945,0.8107500000000001
convrf,0.6739999999999999,0.68025,0.7085,0.7464999999999999,0.7635,0.78325,0.79175,0.8
convrf2layer,0.6505,0.6577500000000001,0.67825,0.69625,0.72975,0.7475,0.76225,0.77625
simplecnn,0.478,0.6479999999999999,0.67825,0.683,0.6799999999999999,0.69375,0.7749999999999999,0.7717499999999999
cnn32,0.46925,0.53975,0.5742499999999999,0.5934999999999999,0.5994999999999999,0.6185,0.648,0.6685000000000001
cnn32_2layer,0.4875,0.5033333333333333,0.5436666666666666,0.5395,0.5635,0.6046666666666667,0.6428333333333334,0.6485
