algos,0,1,2,3,4,5,6,7
naiveRF,0.82475,0.83325,0.8334999999999999,0.83725,0.8585,0.8712500000000001,0.889,0.8975
convrf,0.828,0.83725,0.84675,0.8512500000000001,0.8712500000000001,0.88025,0.88725,0.891
convrf2layer,0.81925,0.80925,0.8345,0.8445,0.865,0.8767499999999999,0.88225,0.88225
simplecnn,0.59275,0.5885,0.6837500000000001,0.657,0.70825,0.74,0.77325,0.79525
cnn32,0.46775,0.5157499999999999,0.571,0.573,0.59325,0.63625,0.64025,0.66875
cnn32_2layer,0.4741666666666666,0.5095,0.526,0.5501666666666666,0.5881666666666666,0.6225,0.6331666666666667,0.6611666666666666
