algos,0,1,2,3,4,5,6,7
naiveRF,0.776,0.8180000000000001,0.8334999999999999,0.84425,0.8552500000000001,0.8685,0.8752500000000001,0.88225
convrf,0.769,0.80225,0.82075,0.837,0.849,0.86275,0.87075,0.878
convrf2layer,0.73525,0.796,0.81675,0.83375,0.8425,0.8592500000000001,0.8645,0.87625
simplecnn,0.504,0.5975,0.6585,0.688,0.7404999999999999,0.7462500000000001,0.7725,0.7765
cnn32,0.4645,0.52025,0.5700000000000001,0.5742499999999999,0.58675,0.607,0.61925,0.6675
cnn32_2layer,0.464,0.5225,0.5045000000000001,0.551,0.5831666666666666,0.626,0.6376666666666666,0.673
