algos,0,1,2,3,4,5,6,7
naiveRF,0.6717500000000001,0.6785,0.68425,0.73925,0.7455,0.7645,0.77675,0.793
convrf,0.64825,0.6487499999999999,0.671,0.72075,0.722,0.7415,0.75725,0.76925
convrf2layer,0.6385000000000001,0.6399999999999999,0.6467499999999999,0.70025,0.7150000000000001,0.72375,0.73125,0.7484999999999999
simplecnn,0.5805,0.6192500000000001,0.63975,0.6515,0.7045,0.7462500000000001,0.7825,0.8009999999999999
cnn32,0.46075,0.5289999999999999,0.55925,0.5865,0.583,0.6145,0.637,0.6665
cnn32_2layer,0.4935,0.5086666666666667,0.5180000000000001,0.564,0.5661666666666667,0.5793333333333334,0.6378333333333334,0.6648333333333333
